cluster_id,asset_id,distinct_alarm_count,total_events,alarms_in_cluster,start_time,end_time
35,P-0300,2,2,"P-0300.PI_HI,P-0300.FI_LO",2025-02-28 23:30:41,2025-02-28 23:45:06
36,P-0300,2,2,"P-0300.II_HI,P-0300.VI_HI",2025-03-01 14:41:50,2025-03-01 14:42:42
37,P-0300,2,2,"P-0300.VI_HI,P-0300.II_HI",2025-03-01 18:51:08,2025-03-01 19:07:35
38,P-0300,2,2,"P-0300.PI_LO,P-0300.II_HI",2025-03-02 14:53:05,2025-03-02 15:12:25
39,P-0300,2,2,"P-0300.II_HI,P-0300.PI_HI",2025-03-03 16:00:03,2025-03-03 16:11:01
40,P-0300,2,3,"P-0300.VI_HI,P-0300.II_HI",2025-03-06 14:01:06,2025-03-06 14:37:55
41,P-0300,2,2,"P-0300.FI_LO,P-0300.PI_LO",2025-03-11 16:51:58,2025-03-11 16:56:33
42,P-0300,2,2,"P-0300.II_HI,P-0300.PDI_HI",2025-03-12 14:06:12,2025-03-12 14:14:09
43,P-0300,2,2,"P-0300.PI_HI,P-0300.SI_LO",2025-03-12 20:46:08,2025-03-12 20:51:55
44,P-0300,2,2,"P-0300.PI_HI,P-0300.PDI_HI",2025-03-14 23:44:09,2025-03-14 23:53:55
45,P-0300,3,3,"P-0300.TI_HI,P-0300.VI_HI,P-0300.PI_HI",2025-03-16 15:55:56,2025-03-16 16:41:08
46,P-0300,3,3,"P-0300.FI_LO,P-0300.PI_HI,P-0300.VI_HI",2025-03-16 17:12:47,2025-03-16 17:23:42
47,P-0300,2,2,"P-0300.VI_HI,P-0300.PDI_HI",2025-03-17 05:17:10,2025-03-17 05:37:51
48,P-0300,2,2,"P-0300.SI_LO,P-0300.II_HI",2025-03-17 23:43:14,2025-03-17 23:54:20
49,P-0300,2,2,"P-0300.VI_HI,P-0300.PI_LO",2025-03-20 12:52:26,2025-03-20 13:12:55
50,P-0300,2,2,"P-0300.PDI_HI,P-0300.SI_LO",2025-03-21 15:52:05,2025-03-21 16:04:26
51,P-0300,2,2,"P-0300.II_HI,P-0300.TI_HI",2025-03-24 17:10:56,2025-03-24 17:14:54
52,P-0300,2,2,"P-0300.FI_LO,P-0300.SI_LO",2025-03-25 13:13:07,2025-03-25 13:16:24
53,P-0300,2,2,"P-0300.TI_HI,P-0300.SI_LO",2025-03-26 12:30:05,2025-03-26 12:33:18
54,P-0300,2,2,"P-0300.VI_HI,P-0300.TI_HI",2025-03-26 14:07:44,2025-03-26 14:22:55
55,P-0300,2,2,"P-0300.II_HI,P-0300.SI_LO",2025-03-30 14:40:01,2025-03-30 14:54:02
56,P-0300,2,2,"P-0300.TI_HI,P-0300.PI_HI",2025-04-02 10:44:12,2025-04-02 11:00:57
57,P-0300,2,2,"P-0300.TI_HI,P-0300.FI_LO",2025-04-03 10:27:51,2025-04-03 10:35:58
58,P-0300,2,3,"P-0300.II_HI,P-0300.PDI_HI",2025-04-04 10:17:25,2025-04-04 10:52:12
59,P-0300,2,2,"P-0300.II_HI,P-0300.TI_HI",2025-04-06 10:00:26,2025-04-06 10:04:12
60,P-0300,2,2,"P-0300.PI_LO,P-0300.SI_LO",2025-04-06 10:46:59,2025-04-06 10:56:46
61,P-0300,2,2,"P-0300.SI_LO,P-0300.PI_LO",2025-04-07 17:14:59,2025-04-07 17:44:59
62,P-0300,2,3,"P-0300.II_HI,P-0300.PI_LO",2025-04-08 16:52:52,2025-04-08 17:36:26
63,P-0300,3,4,"P-0300.FI_LO,P-0300.TI_HI,P-0300.PI_LO",2025-04-09 13:13:20,2025-04-09 13:41:52
64,P-0300,2,2,"P-0300.TI_HI,P-0300.PI_HI",2025-04-09 20:43:19,2025-04-09 21:02:47
65,P-0300,2,2,"P-0300.VI_HI,P-0300.SI_LO",2025-04-10 16:36:24,2025-04-10 17:03:15
66,P-0300,2,2,"P-0300.TI_HI,P-0300.VI_HI",2025-04-11 12:17:58,2025-04-11 12:32:27
67,P-0300,2,2,"P-0300.PDI_HI,P-0300.FI_LO",2025-04-12 08:56:58,2025-04-12 09:23:40
68,P-0300,2,2,"P-0300.PI_HI,P-0300.FI_LO",2025-04-12 10:21:55,2025-04-12 10:28:03
69,P-0300,3,3,"P-0300.SI_LO,P-0300.FI_LO,P-0300.TI_HI",2025-04-13 10:22:56,2025-04-13 11:08:31
70,P-0300,2,3,"P-0300.FI_LO,P-0300.PDI_HI",2025-04-15 12:01:25,2025-04-15 12:34:31
71,P-0300,2,2,"P-0300.PI_HI,P-0300.PDI_HI",2025-04-16 16:26:34,2025-04-16 16:32:02
72,P-0300,3,3,"P-0300.TI_HI,P-0300.PI_LO,P-0300.PDI_HI",2025-04-18 10:27:49,2025-04-18 10:49:35
73,P-0300,2,2,"P-0300.FI_LO,P-0300.PI_HI",2025-04-22 12:21:07,2025-04-22 12:43:32
74,P-0300,2,2,"P-0300.PI_HI,P-0300.II_HI",2025-04-23 09:06:27,2025-04-23 09:11:24
75,P-0300,2,2,"P-0300.PI_HI,P-0300.VI_HI",2025-04-23 13:19:46,2025-04-23 13:45:19
76,P-0300,2,2,"P-0300.TI_HI,P-0300.PI_LO",2025-04-23 15:50:30,2025-04-23 15:51:36
77,P-0300,2,2,"P-0300.PI_HI,P-0300.FI_LO",2025-04-27 11:36:50,2025-04-27 11:53:53
78,P-0300,2,2,"P-0300.PI_HI,P-0300.PI_LO",2025-04-28 13:21:18,2025-04-28 13:46:37
79,P-0300,2,2,"P-0300.PI_LO,P-0300.PDI_HI",2025-04-30 23:27:59,2025-04-30 23:46:03
80,P-0300,2,2,"P-0300.PI_HI,P-0300.PI_LO",2025-05-03 11:11:26,2025-05-03 11:18:27
81,P-0300,2,2,"P-0300.PI_HI,P-0300.PI_LO",2025-05-03 18:05:35,2025-05-03 18:19:11
82,P-0300,2,2,"P-0300.PI_LO,P-0300.PDI_HI",2025-05-06 16:06:39,2025-05-06 16:12:56
83,P-0300,2,2,"P-0300.VI_HI,P-0300.FI_LO",2025-05-06 19:30:58,2025-05-06 19:44:45
84,P-0300,3,3,"P-0300.VI_HI,P-0300.SI_LO,P-0300.PDI_HI",2025-05-09 22:25:46,2025-05-09 22:38:48
85,P-0300,2,3,"P-0300.PI_HI,P-0300.FI_LO",2025-05-16 15:26:05,2025-05-16 15:41:24
86,P-0300,2,2,"P-0300.PI_LO,P-0300.TI_HI",2025-05-18 13:47:24,2025-05-18 13:52:56
87,P-0300,2,2,"P-0300.PI_LO,P-0300.PI_HI",2025-05-18 14:40:12,2025-05-18 14:58:46
88,P-0300,2,2,"P-0300.II_HI,P-0300.PDI_HI",2025-05-20 18:23:43,2025-05-20 18:28:52
89,P-0300,2,2,"P-0300.PI_LO,P-0300.PDI_HI",2025-05-23 17:46:03,2025-05-23 17:52:49
90,P-0300,2,2,"P-0300.PI_HI,P-0300.II_HI",2025-05-24 18:44:48,2025-05-24 18:45:13
91,P-0300,3,3,"P-0300.TI_HI,P-0300.FI_LO,P-0300.PI_HI",2025-05-26 09:31:06,2025-05-26 10:20:46
92,P-0300,2,2,"P-0300.TI_HI,P-0300.VI_HI",2025-05-27 09:15:36,2025-05-27 09:17:00
93,P-0300,2,2,"P-0300.SI_LO,P-0300.PI_HI",2025-05-27 10:03:40,2025-05-27 10:17:25
94,P-0300,2,2,"P-0300.TI_HI,P-0300.PI_LO",2025-05-28 07:04:34,2025-05-28 07:32:32
95,P-0300,2,2,"P-0300.SI_LO,P-0300.FI_LO",2025-05-28 21:27:09,2025-05-28 21:27:13
96,P-0300,2,2,"P-0300.FI_LO,P-0300.PI_HI",2025-05-28 22:24:27,2025-05-28 22:44:19
97,P-0300,2,2,"P-0300.PI_HI,P-0300.PI_LO",2025-05-28 23:14:22,2025-05-28 23:25:15
98,P-0300,2,2,"P-0300.PI_HI,P-0300.PI_LO",2025-05-29 23:40:56,2025-05-29 23:48:56
99,P-0300,2,2,"P-0300.PDI_HI,P-0300.PI_LO",2025-05-31 12:24:35,2025-05-31 12:49:50
100,P-0300,2,2,"P-0300.VI_HI,P-0300.SI_LO",2025-05-31 15:24:54,2025-05-31 15:43:32
101,P-0300,2,2,"P-0300.PDI_HI,P-0300.SI_LO",2025-05-31 16:48:34,2025-05-31 16:54:53
102,P-0300,2,2,"P-0300.SI_LO,P-0300.PI_LO",2025-05-31 23:37:57,2025-05-31 23:54:18
103,P-0300,2,2,"P-0300.TI_HI,P-0300.VI_HI",2025-06-01 16:21:26,2025-06-01 16:46:25
104,P-0300,2,2,"P-0300.VI_HI,P-0300.TI_HI",2025-06-01 18:18:45,2025-06-01 18:25:26
105,P-0300,2,2,"P-0300.II_HI,P-0300.PDI_HI",2025-06-04 18:52:45,2025-06-04 18:56:37
106,P-0300,2,3,"P-0300.PI_HI,P-0300.TI_HI",2025-06-05 19:16:22,2025-06-05 20:01:02
107,P-0300,2,2,"P-0300.PI_LO,P-0300.PI_HI",2025-06-07 12:17:55,2025-06-07 12:22:14
108,P-0300,2,2,"P-0300.TI_HI,P-0300.PDI_HI",2025-06-07 14:48:15,2025-06-07 14:53:47
109,P-0300,2,2,"P-0300.II_HI,P-0300.PI_LO",2025-06-08 08:47:21,2025-06-08 09:00:46
110,P-0300,2,2,"P-0300.PDI_HI,P-0300.TI_HI",2025-06-10 17:00:38,2025-06-10 17:03:07
111,P-0300,2,2,"P-0300.VI_HI,P-0300.SI_LO",2025-06-11 13:29:59,2025-06-11 13:56:03
112,P-0300,2,2,"P-0300.PDI_HI,P-0300.SI_LO",2025-06-11 15:17:42,2025-06-11 15:26:40
113,P-0300,2,2,"P-0300.PI_LO,P-0300.PI_HI",2025-06-13 17:23:25,2025-06-13 17:35:58
114,P-0300,2,2,"P-0300.PI_LO,P-0300.PI_HI",2025-06-14 11:40:17,2025-06-14 11:42:53
115,P-0300,2,3,"P-0300.TI_HI,P-0300.PI_HI",2025-06-15 09:47:49,2025-06-15 10:36:12
116,P-0300,2,2,"P-0300.SI_LO,P-0300.II_HI",2025-06-15 11:46:51,2025-06-15 12:14:31
117,P-0300,2,2,"P-0300.SI_LO,P-0300.TI_HI",2025-06-16 11:49:59,2025-06-16 11:52:24
118,P-0300,2,2,"P-0300.PI_HI,P-0300.TI_HI",2025-06-17 11:48:47,2025-06-17 12:18:13
119,P-0300,2,2,"P-0300.PI_HI,P-0300.FI_LO",2025-06-17 13:47:22,2025-06-17 14:16:31
120,P-0300,2,2,"P-0300.PDI_HI,P-0300.TI_HI",2025-06-17 14:52:24,2025-06-17 15:04:02
121,P-0300,2,2,"P-0300.VI_HI,P-0300.PI_LO",2025-06-22 21:26:19,2025-06-22 21:47:39
122,P-0300,2,2,"P-0300.II_HI,P-0300.PI_HI",2025-06-25 00:48:48,2025-06-25 01:10:08
123,P-0300,2,2,"P-0300.PI_LO,P-0300.PDI_HI",2025-06-26 11:13:14,2025-06-26 11:29:01
124,P-0300,3,3,"P-0300.PDI_HI,P-0300.FI_LO,P-0300.PI_HI",2025-06-28 10:39:54,2025-06-28 11:01:53
125,P-0300,2,2,"P-0300.PI_HI,P-0300.PDI_HI",2025-06-28 14:24:52,2025-06-28 14:32:33
126,P-0300,2,2,"P-0300.TI_HI,P-0300.PDI_HI",2025-06-28 23:10:36,2025-06-28 23:25:20
127,P-0300,2,2,"P-0300.VI_HI,P-0300.PDI_HI",2025-06-29 22:04:59,2025-06-29 22:22:06
128,P-0300,2,2,"P-0300.PDI_HI,P-0300.PI_HI",2025-07-03 14:34:48,2025-07-03 14:53:14
129,P-0300,2,2,"P-0300.VI_HI,P-0300.FI_LO",2025-07-05 10:50:16,2025-07-05 10:53:39
130,P-0300,2,2,"P-0300.PI_LO,P-0300.FI_LO",2025-07-07 01:31:14,2025-07-07 02:00:16
131,P-0300,2,2,"P-0300.VI_HI,P-0300.PI_HI",2025-07-11 12:25:09,2025-07-11 12:38:03
132,P-0300,5,6,"P-0300.FI_LO,P-0300.SI_LO,P-0300.II_HI,P-0300.PI_HI,P-0300.PDI_HI",2025-07-13 06:08:38,2025-07-13 07:32:20
133,P-0300,2,2,"P-0300.PDI_HI,P-0300.VI_HI",2025-07-13 09:51:29,2025-07-13 10:07:30
134,P-0300,2,2,"P-0300.II_HI,P-0300.PDI_HI",2025-07-13 15:34:35,2025-07-13 15:47:22
135,P-0300,2,2,"P-0300.TI_HI,P-0300.SI_LO",2025-07-13 23:56:53,2025-07-14 00:14:09
136,P-0300,2,2,"P-0300.PDI_HI,P-0300.II_HI",2025-07-14 17:32:44,2025-07-14 17:58:36
137,P-0300,2,2,"P-0300.VI_HI,P-0300.II_HI",2025-07-15 14:54:16,2025-07-15 15:05:15
138,P-0300,2,3,"P-0300.FI_LO,P-0300.VI_HI",2025-07-18 14:03:50,2025-07-18 14:44:24
139,P-0300,2,2,"P-0300.SI_LO,P-0300.VI_HI",2025-07-19 16:16:02,2025-07-19 16:37:24
140,P-0300,2,2,"P-0300.II_HI,P-0300.SI_LO",2025-07-19 18:31:45,2025-07-19 19:01:27
141,P-0300,2,2,"P-0300.PDI_HI,P-0300.SI_LO",2025-07-21 10:18:30,2025-07-21 10:29:03
142,P-0300,2,2,"P-0300.VI_HI,P-0300.FI_LO",2025-07-22 13:23:30,2025-07-22 13:37:08
143,P-0300,2,2,"P-0300.SI_LO,P-0300.PI_HI",2025-07-23 04:05:15,2025-07-23 04:19:13
144,P-0300,2,2,"P-0300.FI_LO,P-0300.PDI_HI",2025-07-24 17:14:27,2025-07-24 17:41:02
145,P-0300,2,2,"P-0300.II_HI,P-0300.PDI_HI",2025-07-25 12:15:58,2025-07-25 12:17:18
146,P-0300,2,2,"P-0300.VI_HI,P-0300.SI_LO",2025-07-26 10:44:58,2025-07-26 10:45:01
147,P-0300,4,5,"P-0300.PI_HI,P-0300.PDI_HI,P-0300.II_HI,P-0300.PI_LO",2025-07-26 16:48:36,2025-07-26 17:28:23
148,P-0300,2,2,"P-0300.FI_LO,P-0300.PI_LO",2025-07-27 09:50:44,2025-07-27 10:17:13
149,P-0300,2,2,"P-0300.II_HI,P-0300.PDI_HI",2025-07-27 14:29:58,2025-07-27 14:45:50
150,P-0300,2,3,"P-0300.FI_LO,P-0300.VI_HI",2025-07-28 09:13:34,2025-07-28 09:23:39
151,P-0300,2,2,"P-0300.PI_HI,P-0300.SI_LO",2025-07-28 14:56:32,2025-07-28 15:00:23
152,P-0300,2,2,"P-0300.II_HI,P-0300.PI_LO",2025-07-29 10:45:34,2025-07-29 11:13:13
153,P-0300,2,2,"P-0300.PI_HI,P-0300.SI_LO",2025-07-29 16:02:50,2025-07-29 16:04:10
154,P-0300,2,2,"P-0300.FI_LO,P-0300.PI_LO",2025-07-29 18:39:53,2025-07-29 19:04:21
155,P-0300,2,2,"P-0300.FI_LO,P-0300.PI_LO",2025-07-30 07:16:00,2025-07-30 07:34:24
156,P-0300,2,2,"P-0300.TI_HI,P-0300.PI_HI",2025-07-31 06:51:12,2025-07-31 07:14:56
157,P-0300,2,2,"P-0300.PI_LO,P-0300.FI_LO",2025-07-31 08:03:38,2025-07-31 08:33:28
158,P-0300,3,3,"P-0300.SI_LO,P-0300.II_HI,P-0300.PDI_HI",2025-07-31 17:13:13,2025-07-31 17:51:07
159,P-0300,2,3,"P-0300.PI_HI,P-0300.PDI_HI",2025-08-01 07:55:20,2025-08-01 08:24:02
160,P-0300,2,2,"P-0300.FI_LO,P-0300.PI_HI",2025-08-01 09:12:23,2025-08-01 09:29:15
161,P-0300,2,2,"P-0300.FI_LO,P-0300.PDI_HI",2025-08-01 10:01:57,2025-08-01 10:17:27
162,P-0300,2,2,"P-0300.PDI_HI,P-0300.SI_LO",2025-08-02 08:56:28,2025-08-02 09:21:59
163,P-0300,3,3,"P-0300.II_HI,P-0300.PI_LO,P-0300.PDI_HI",2025-08-02 16:54:15,2025-08-02 17:13:04
164,P-0300,2,2,"P-0300.PDI_HI,P-0300.SI_LO",2025-08-03 14:05:53,2025-08-03 14:26:11
165,P-0300,3,3,"P-0300.II_HI,P-0300.PDI_HI,P-0300.PI_HI",2025-08-03 18:38:02,2025-08-03 18:42:12
166,P-0300,2,2,"P-0300.PDI_HI,P-0300.PI_LO",2025-08-03 21:07:56,2025-08-03 21:21:37
167,P-0300,2,2,"P-0300.PI_LO,P-0300.VI_HI",2025-08-04 09:11:44,2025-08-04 09:25:34
168,P-0300,2,2,"P-0300.PI_LO,P-0300.SI_LO",2025-08-04 15:21:57,2025-08-04 15:22:42
169,P-0300,2,3,"P-0300.PDI_HI,P-0300.FI_LO",2025-08-06 03:47:04,2025-08-06 04:07:03
170,P-0300,3,3,"P-0300.PI_HI,P-0300.PI_LO,P-0300.SI_LO",2025-08-06 13:49:20,2025-08-06 14:31:15
171,P-0300,2,2,"P-0300.VI_HI,P-0300.II_HI",2025-08-06 22:57:11,2025-08-06 23:12:57
172,P-0300,2,2,"P-0300.PI_LO,P-0300.FI_LO",2025-08-07 05:10:48,2025-08-07 05:15:57
173,P-0300,2,2,"P-0300.PDI_HI,P-0300.FI_LO",2025-08-07 09:15:58,2025-08-07 09:32:36
174,P-0300,5,6,"P-0300.PI_HI,P-0300.PI_LO,P-0300.FI_LO,P-0300.PDI_HI,P-0300.SI_LO",2025-08-07 11:48:48,2025-08-07 12:56:30
175,P-0300,3,5,"P-0300.VI_HI,P-0300.FI_LO,P-0300.PDI_HI",2025-08-07 13:38:51,2025-08-07 14:41:57
176,P-0300,3,3,"P-0300.PI_HI,P-0300.SI_LO,P-0300.PDI_HI",2025-08-09 06:54:27,2025-08-09 07:29:41
177,P-0300,2,2,"P-0300.PI_HI,P-0300.PDI_HI",2025-08-09 08:44:56,2025-08-09 09:05:28
178,P-0300,2,2,"P-0300.II_HI,P-0300.PI_HI",2025-08-09 16:49:29,2025-08-09 16:49:52
179,P-0300,2,2,"P-0300.TI_HI,P-0300.PI_LO",2025-08-09 17:47:40,2025-08-09 18:02:06
180,P-0300,2,2,"P-0300.PDI_HI,P-0300.PI_LO",2025-08-10 10:12:12,2025-08-10 10:36:25
181,P-0300,3,3,"P-0300.TI_HI,P-0300.PI_HI,P-0300.PI_LO",2025-08-10 12:48:15,2025-08-10 13:27:09
182,P-0300,2,2,"P-0300.PI_LO,P-0300.PI_HI",2025-08-10 19:27:10,2025-08-10 19:32:48
183,P-0300,2,2,"P-0300.FI_LO,P-0300.PI_LO",2025-08-11 10:58:22,2025-08-11 11:18:50
184,P-0300,2,2,"P-0300.PDI_HI,P-0300.PI_LO",2025-08-11 16:44:57,2025-08-11 17:10:25
185,P-0300,2,2,"P-0300.PDI_HI,P-0300.PI_LO",2025-08-12 05:09:54,2025-08-12 05:11:54
186,P-0300,2,2,"P-0300.II_HI,P-0300.FI_LO",2025-08-12 14:07:08,2025-08-12 14:35:54
187,P-0300,2,2,"P-0300.PI_LO,P-0300.PI_HI",2025-08-12 19:48:05,2025-08-12 20:00:47
188,P-0300,2,2,"P-0300.FI_LO,P-0300.PDI_HI",2025-08-13 08:24:48,2025-08-13 08:34:10
189,P-0300,2,2,"P-0300.II_HI,P-0300.PI_HI",2025-08-13 17:02:22,2025-08-13 17:10:55
190,P-0300,3,3,"P-0300.SI_LO,P-0300.PI_LO,P-0300.PI_HI",2025-08-14 13:26:42,2025-08-14 14:00:32
191,P-0300,2,2,"P-0300.FI_LO,P-0300.PDI_HI",2025-08-14 15:48:47,2025-08-14 15:55:05
192,P-0300,2,2,"P-0300.II_HI,P-0300.PDI_HI",2025-08-14 16:43:08,2025-08-14 16:48:47
193,P-0300,2,2,"P-0300.PI_HI,P-0300.PDI_HI",2025-08-15 10:08:05,2025-08-15 10:27:13
194,P-0300,2,2,"P-0300.PI_LO,P-0300.FI_LO",2025-08-15 11:42:25,2025-08-15 12:11:48
195,P-0300,2,2,"P-0300.FI_LO,P-0300.PI_LO",2025-08-15 13:11:14,2025-08-15 13:32:52
196,P-0300,4,5,"P-0300.PI_LO,P-0300.PDI_HI,P-0300.II_HI,P-0300.PI_HI",2025-08-15 14:13:01,2025-08-15 15:52:05
197,P-0300,2,2,"P-0300.FI_LO,P-0300.PI_LO",2025-08-16 10:31:20,2025-08-16 10:48:07
198,P-0300,2,2,"P-0300.PI_LO,P-0300.PDI_HI",2025-08-16 12:04:35,2025-08-16 12:34:03
199,P-0300,3,3,"P-0300.FI_LO,P-0300.PDI_HI,P-0300.PI_LO",2025-08-16 14:48:29,2025-08-16 15:32:37
200,P-0300,4,4,"P-0300.FI_LO,P-0300.PDI_HI,P-0300.PI_HI,P-0300.PI_LO",2025-08-17 11:02:11,2025-08-17 11:40:56
201,P-0300,3,3,"P-0300.PDI_HI,P-0300.PI_HI,P-0300.PI_LO",2025-08-17 13:57:41,2025-08-17 14:21:58
202,P-0300,2,3,"P-0300.PDI_HI,P-0300.PI_HI",2025-08-17 14:56:52,2025-08-17 15:21:04
203,P-0300,2,2,"P-0300.PI_LO,P-0300.FI_LO",2025-08-17 18:42:42,2025-08-17 19:04:10
204,P-0300,3,3,"P-0300.PDI_HI,P-0300.FI_LO,P-0300.PI_LO",2025-08-18 02:02:05,2025-08-18 02:16:24
205,P-0300,2,2,"P-0300.PI_LO,P-0300.FI_LO",2025-08-18 08:02:46,2025-08-18 08:06:12
206,P-0300,3,3,"P-0300.FI_LO,P-0300.VI_HI,P-0300.PI_LO",2025-08-18 11:08:48,2025-08-18 11:40:41
207,P-0300,3,4,"P-0300.PI_HI,P-0300.PDI_HI,P-0300.SI_LO",2025-08-18 12:24:03,2025-08-18 12:45:09
208,P-0300,2,2,"P-0300.VI_HI,P-0300.TI_HI",2025-08-19 11:46:17,2025-08-19 12:02:12
209,P-0300,2,2,"P-0300.PI_LO,P-0300.PI_HI",2025-08-19 12:50:38,2025-08-19 12:51:15
210,P-0300,2,2,"P-0300.PDI_HI,P-0300.PI_LO",2025-08-19 13:30:00,2025-08-19 13:50:21
211,P-0300,2,2,"P-0300.FI_LO,P-0300.PI_HI",2025-08-19 18:13:17,2025-08-19 18:28:46
212,P-0300,2,2,"P-0300.FI_LO,P-0300.PI_LO",2025-08-20 09:44:14,2025-08-20 10:11:12
213,P-0300,2,4,"P-0300.PDI_HI,P-0300.FI_LO",2025-08-20 13:28:04,2025-08-20 13:58:11
214,P-0300,2,2,"P-0300.FI_LO,P-0300.PDI_HI",2025-08-20 17:25:31,2025-08-20 17:51:51
215,P-0300,2,3,"P-0300.PI_LO,P-0300.FI_LO",2025-08-20 23:02:57,2025-08-20 23:08:57
216,P-0300,2,2,"P-0300.PI_LO,P-0300.PDI_HI",2025-08-21 05:18:30,2025-08-21 05:34:45
217,P-0300,2,2,"P-0300.PI_HI,P-0300.PDI_HI",2025-08-21 12:26:32,2025-08-21 12:52:30
218,P-0300,3,5,"P-0300.PDI_HI,P-0300.PI_HI,P-0300.FI_LO",2025-08-21 13:58:30,2025-08-21 14:34:57
219,P-0300,2,2,"P-0300.PI_LO,P-0300.SI_LO",2025-08-21 17:11:51,2025-08-21 17:15:32
220,P-0300,3,3,"P-0300.PDI_HI,P-0300.SI_LO,P-0300.II_HI",2025-08-21 21:56:34,2025-08-21 22:42:58
221,P-0300,5,7,"P-0300.FI_LO,P-0300.PI_LO,P-0300.SI_LO,P-0300.PI_HI,P-0300.PDI_HI",2025-08-22 08:48:17,2025-08-22 10:13:55
222,P-0300,2,3,"P-0300.FI_LO,P-0300.PI_HI",2025-08-22 14:25:37,2025-08-22 14:31:23
