asset_id,alarm_tag,alarm_description,priority,alarm_type,activation_time,ack_time,clear_time,duration_min,operator_id,area,is_test_case
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-07 17:42:54,2025-01-07 17:43:33,2025-01-07 17:48:33,5.7,OP03,Pumping_Station_A,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-07 21:20:54,2025-01-07 21:23:17,2025-01-07 21:34:10,13.3,OP01,Pumping_Station_A,
P-201,P-201.PI_HI,Discharge pressure high,3,HI,2025-01-08 09:51:17,2025-01-08 09:54:48,2025-01-08 10:18:49,27.5,OP03,Pumping_Station_A,
C-301,C-301.PI_LO,Suction pressure low,2,LO,2025-01-08 10:45:45,2025-01-08 10:47:24,2025-01-08 10:54:29,8.7,OP04,Compressor_Building,
C-301,C-301.PDI_HI,Filter delta-P high,4,HI,2025-01-08 11:27:55,2025-01-08 11:29:42,2025-01-08 13:05:04,97.2,OP05,Compressor_Building,
P-201,P-201.FI_LO,Discharge flow low,3,LO,2025-01-08 17:17:32,2025-01-08 17:21:01,2025-01-08 17:28:14,10.7,OP02,Pumping_Station_A,
TK-101,TK-101.LI_HI,Tank level high,3,HI,2025-01-08 18:23:40,2025-01-08 18:24:48,2025-01-08 18:32:23,8.7,OP05,Storage_Tank_Farm,
TK-101,TK-101.PI_HI,Tank pressure high,2,HI,2025-01-09 00:25:50,2025-01-09 00:26:32,2025-01-09 00:33:03,7.2,OP05,Storage_Tank_Farm,
TK-101,TK-101.TI_HI,Tank temperature high,3,HI,2025-01-09 07:39:41,2025-01-09 07:42:39,2025-01-09 08:02:11,22.5,OP03,Storage_Tank_Farm,
P-201,P-201.FI_LO,Discharge flow low,3,LO,2025-01-09 14:14:53,2025-01-09 14:17:17,2025-01-09 14:20:59,6.1,OP05,Pumping_Station_A,
P-201,P-201.FI_LO,Discharge flow low,3,LO,2025-01-09 15:20:21,2025-01-09 15:21:51,2025-01-09 15:57:04,36.7,OP05,Pumping_Station_A,
TK-101,TK-101.TI_HI,Tank temperature high,3,HI,2025-01-09 16:07:40,2025-01-09 16:11:40,2025-01-09 16:28:19,20.7,OP01,Storage_Tank_Farm,
TK-101,TK-101.TI_HI,Tank temperature high,3,HI,2025-01-09 16:32:38,2025-01-09 16:34:07,2025-01-09 17:00:47,28.2,OP02,Storage_Tank_Farm,
TK-101,TK-101.PI_HI,Tank pressure high,2,HI,2025-01-09 17:27:25,2025-01-09 17:29:09,2025-01-09 17:35:23,8.0,OP04,Storage_Tank_Farm,
C-301,C-301.FI_LO,Lube oil flow low,1,LO,2025-01-09 17:31:38,2025-01-09 17:32:07,2025-01-09 17:33:07,1.5,OP03,Compressor_Building,
P-201,P-201.FI_LO,Discharge flow low,3,LO,2025-01-09 22:16:52,2025-01-09 22:21:13,2025-01-09 22:45:10,28.3,OP03,Pumping_Station_A,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-09 23:16:49,2025-01-09 23:17:41,2025-01-09 23:23:42,6.9,OP03,Pumping_Station_A,
TK-101,TK-101.LI_HI,Tank level high,3,HI,2025-01-09 23:31:02,2025-01-09 23:33:28,2025-01-10 00:01:21,30.3,OP03,Storage_Tank_Farm,
C-301,C-301.PI_LO,Suction pressure low,2,LO,2025-01-10 07:10:52,2025-01-10 07:12:12,2025-01-10 07:21:42,10.8,OP04,Compressor_Building,
C-301,C-301.FI_LO,Lube oil flow low,1,LO,2025-01-10 09:29:31,2025-01-10 09:31:46,2025-01-10 09:30:15,0.7,OP05,Compressor_Building,
C-301,C-301.FI_LO,Lube oil flow low,1,LO,2025-01-10 11:25:08,2025-01-10 11:26:57,2025-01-10 11:29:24,4.3,OP01,Compressor_Building,
C-301,C-301.FI_LO,Lube oil flow low,1,LO,2025-01-10 12:51:14,2025-01-10 12:51:50,2025-01-10 12:53:44,2.5,OP01,Compressor_Building,
C-301,C-301.TI_HI,Discharge temp high,2,HI,2025-01-10 14:01:26,2025-01-10 14:06:21,2025-01-10 14:14:04,12.6,OP05,Compressor_Building,
TK-101,TK-101.LI_LO,Tank level low,4,LO,2025-01-10 16:13:51,2025-01-10 16:15:51,2025-01-10 17:13:28,59.6,OP03,Storage_Tank_Farm,
C-301,C-301.VI_HI,Compressor vibration high,1,HI,2025-01-10 17:11:44,2025-01-10 17:15:34,2025-01-10 17:13:44,2.0,OP05,Compressor_Building,
TK-101,TK-101.PI_HI,Tank pressure high,2,HI,2025-01-10 17:37:41,2025-01-10 17:38:06,2025-01-10 17:49:44,12.0,OP04,Storage_Tank_Farm,
C-301,C-301.TI_HI,Discharge temp high,2,HI,2025-01-10 23:41:59,2025-01-10 23:45:59,2025-01-10 23:47:04,5.1,OP05,Compressor_Building,
P-201,P-201.FI_LO,Discharge flow low (test),3,LO,2025-01-11 02:00:00,2025-01-11 02:04:30,,3120.0,OP04,Pumping_Station_A,YES
C-301,C-301.FI_LO,Lube oil flow low,1,LO,2025-01-11 11:51:32,2025-01-11 11:55:53,2025-01-11 11:53:38,2.1,OP01,Compressor_Building,
C-301,C-301.PI_LO,Suction pressure low,2,LO,2025-01-11 15:04:30,2025-01-11 15:07:12,2025-01-11 15:21:20,16.8,OP02,Compressor_Building,
TK-101,TK-101.LI_LO,Tank level low,4,LO,2025-01-11 15:22:06,2025-01-11 15:23:24,2025-01-11 15:58:09,36.0,OP04,Storage_Tank_Farm,
C-301,C-301.FI_LO,Lube oil flow low,1,LO,2025-01-11 15:45:58,2025-01-11 15:50:52,2025-01-11 15:48:23,2.4,OP04,Compressor_Building,
C-301,C-301.FI_LO,Lube oil flow low,1,LO,2025-01-11 15:52:11,2025-01-11 15:52:59,2025-01-11 15:56:20,4.1,OP02,Compressor_Building,
C-301,C-301.FI_LO,Lube oil flow low,1,LO,2025-01-11 16:15:34,2025-01-11 16:16:54,2025-01-11 16:19:56,4.4,OP01,Compressor_Building,
TK-101,TK-101.TI_HI,Tank temperature high,3,HI,2025-01-11 21:54:05,2025-01-11 21:58:55,2025-01-11 22:26:19,32.2,OP04,Storage_Tank_Farm,
C-301,C-301.PI_LO,Suction pressure low,2,LO,2025-01-12 00:07:39,2025-01-12 00:08:04,2025-01-12 00:19:58,12.3,OP04,Compressor_Building,
TK-101,TK-101.LI_HI,Tank level high,3,HI,2025-01-12 08:41:24,2025-01-12 08:44:29,2025-01-12 09:18:09,36.8,OP02,Storage_Tank_Farm,
P-201,P-201.FI_LO,Discharge flow low,3,LO,2025-01-12 12:14:49,2025-01-12 12:18:28,2025-01-12 12:32:13,17.4,OP03,Pumping_Station_A,
P-201,P-201.TI_HI,Motor temperature high,2,HI,2025-01-12 12:26:12,2025-01-12 12:29:59,2025-01-12 12:33:34,7.4,OP04,Pumping_Station_A,
P-201,P-201.PI_HI,Discharge pressure high,3,HI,2025-01-12 12:48:05,2025-01-12 12:48:41,2025-01-12 12:54:47,6.7,OP03,Pumping_Station_A,
C-301,C-301.PDI_HI,Filter delta-P high,4,HI,2025-01-12 14:30:02,2025-01-12 14:30:20,2025-01-12 15:10:03,40.0,OP01,Compressor_Building,
TK-101,TK-101.TI_HI,Tank temperature high,3,HI,2025-01-12 14:31:30,2025-01-12 14:31:50,2025-01-12 14:58:02,26.5,OP01,Storage_Tank_Farm,
C-301,C-301.PI_LO,Suction pressure low,2,LO,2025-01-12 14:39:11,2025-01-12 14:41:51,2025-01-12 14:53:20,14.1,OP03,Compressor_Building,
TK-101,TK-101.LI_HI,Tank level high,3,HI,2025-01-12 14:56:28,2025-01-12 15:00:16,2025-01-12 15:25:12,28.7,OP02,Storage_Tank_Farm,
TK-101,TK-101.LI_LO,Tank level low,4,LO,2025-01-12 17:44:59,2025-01-12 17:49:02,2025-01-12 18:21:16,36.3,OP05,Storage_Tank_Farm,
TK-101,TK-101.TI_HI,Tank temperature high,3,HI,2025-01-13 06:58:34,2025-01-13 06:58:46,2025-01-13 07:17:51,19.3,OP04,Storage_Tank_Farm,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-13 11:11:19,2025-01-13 11:14:44,2025-01-13 11:16:30,5.2,OP02,Pumping_Station_A,
P-201,P-201.FI_LO,Discharge flow low,3,LO,2025-01-13 12:56:40,2025-01-13 13:00:22,2025-01-13 13:29:06,32.4,OP04,Pumping_Station_A,
C-301,C-301.FI_LO,Lube oil flow low,1,LO,2025-01-13 16:45:43,2025-01-13 16:46:52,2025-01-13 16:48:27,2.7,OP05,Compressor_Building,
TK-101,TK-101.LI_LO,Tank level low,4,LO,2025-01-14 01:49:03,2025-01-14 01:50:38,2025-01-14 02:47:57,58.9,OP02,Storage_Tank_Farm,
TK-101,TK-101.TI_HI,Tank temperature high,3,HI,2025-01-14 05:32:10,2025-01-14 05:32:47,2025-01-14 05:46:01,13.8,OP03,Storage_Tank_Farm,
TK-101,TK-101.LI_HI,Tank level high,3,HI,2025-01-14 09:23:39,2025-01-14 09:24:34,2025-01-14 09:49:17,25.6,OP01,Storage_Tank_Farm,
P-201,P-201.TI_HI,Motor temperature high,2,HI,2025-01-14 09:35:47,2025-01-14 09:40:06,2025-01-14 09:46:03,10.3,OP03,Pumping_Station_A,
C-301,C-301.FI_LO,Lube oil flow low,1,LO,2025-01-14 11:17:49,2025-01-14 11:22:06,2025-01-14 11:19:47,2.0,OP01,Compressor_Building,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-14 12:56:15,2025-01-14 12:56:41,2025-01-14 13:09:05,12.8,OP01,Pumping_Station_A,
C-301,C-301.VI_HI,Compressor vibration high,1,HI,2025-01-14 14:09:25,2025-01-14 14:14:05,2025-01-14 14:14:25,5.0,OP03,Compressor_Building,
TK-101,TK-101.LI_HI,Tank level high,3,HI,2025-01-14 16:34:44,2025-01-14 16:36:46,2025-01-14 16:53:33,18.8,OP03,Storage_Tank_Farm,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-14 20:36:44,2025-01-14 20:39:53,2025-01-14 20:48:21,11.6,OP01,Pumping_Station_A,
TK-101,TK-101.LI_HI,Tank level high,3,HI,2025-01-14 22:47:53,2025-01-14 22:50:52,2025-01-14 23:22:14,34.3,OP05,Storage_Tank_Farm,
TK-101,TK-101.PI_HI,Tank pressure high,2,HI,2025-01-15 06:11:28,2025-01-15 06:13:59,2025-01-15 06:24:21,12.9,OP02,Storage_Tank_Farm,
TK-101,TK-101.LI_LO,Tank level low,4,LO,2025-01-15 08:05:53,2025-01-15 08:08:28,2025-01-15 08:39:16,33.4,OP02,Storage_Tank_Farm,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-15 13:58:54,2025-01-15 14:01:06,2025-01-15 14:08:07,9.2,OP01,Pumping_Station_A,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-15 15:29:40,2025-01-15 15:34:30,2025-01-15 15:32:46,3.1,OP02,Pumping_Station_A,
TK-101,TK-101.LI_HI,Tank level high,3,HI,2025-01-15 18:08:18,2025-01-15 18:09:50,2025-01-15 18:40:55,32.6,OP04,Storage_Tank_Farm,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-15 18:48:49,2025-01-15 18:50:57,2025-01-15 18:56:08,7.3,OP01,Pumping_Station_A,
TK-101,TK-101.TI_HI,Tank temperature high,3,HI,2025-01-15 19:17:51,2025-01-15 19:20:51,2025-01-15 19:47:21,29.5,OP03,Storage_Tank_Farm,
TK-101,TK-101.LI_LO,Tank level low,4,LO,2025-01-15 23:42:27,2025-01-15 23:45:02,2025-01-16 00:43:26,61.0,OP01,Storage_Tank_Farm,
C-301,C-301.FI_LO,Lube oil flow low,1,LO,2025-01-16 09:32:03,2025-01-16 09:36:44,2025-01-16 09:36:06,4.0,OP02,Compressor_Building,
C-301,C-301.PI_LO,Suction pressure low,2,LO,2025-01-16 09:46:46,2025-01-16 09:48:19,2025-01-16 09:53:05,6.3,OP04,Compressor_Building,
TK-101,TK-101.LI_LO,Tank level low,4,LO,2025-01-16 10:39:32,2025-01-16 10:41:15,2025-01-16 12:01:35,82.1,OP04,Storage_Tank_Farm,
C-301,C-301.VI_HI,Compressor vibration high,1,HI,2025-01-16 12:48:07,2025-01-16 12:49:51,2025-01-16 12:50:18,2.2,OP01,Compressor_Building,
C-301,C-301.PI_LO,Suction pressure low (test),2,LO,2025-01-16 14:22:30,2025-01-16 14:23:18,2025-01-16 14:46:34,24.1,OP05,Compressor_Building,YES
C-301,C-301.TI_HI,Discharge temp high (test),2,HI,2025-01-16 14:22:55,2025-01-16 14:23:43,2025-01-16 14:42:59,20.1,OP05,Compressor_Building,YES
C-301,C-301.VI_HI,Compressor vibration high (test),1,HI,2025-01-16 14:23:20,2025-01-16 14:24:08,2025-01-16 14:33:38,10.3,OP05,Compressor_Building,YES
C-301,C-301.FI_LO,Lube oil flow low (test),1,LO,2025-01-16 14:23:45,2025-01-16 14:24:33,2025-01-16 14:33:26,9.7,OP05,Compressor_Building,YES
C-301,C-301.PDI_HI,Filter delta-P high (test),4,HI,2025-01-16 14:24:10,2025-01-16 14:24:58,2025-01-16 14:35:49,11.7,OP05,Compressor_Building,YES
C-301,C-301.TI_HI,Discharge temp high,2,HI,2025-01-16 15:06:28,2025-01-16 15:10:27,2025-01-16 15:17:08,10.7,OP04,Compressor_Building,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-16 19:40:04,2025-01-16 19:43:43,2025-01-16 19:50:43,10.7,OP04,Pumping_Station_A,
TK-101,TK-101.LI_HI,Tank level high,3,HI,2025-01-17 03:29:56,2025-01-17 03:31:57,2025-01-17 03:50:08,20.2,OP04,Storage_Tank_Farm,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-17 06:10:42,2025-01-17 06:13:55,2025-01-17 06:13:27,2.7,OP04,Pumping_Station_A,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-17 09:09:42,2025-01-17 09:14:32,2025-01-17 09:19:40,10.0,OP03,Pumping_Station_A,
P-201,P-201.FI_LO,Discharge flow low,3,LO,2025-01-17 09:34:25,2025-01-17 09:34:45,2025-01-17 10:01:23,27.0,OP04,Pumping_Station_A,
P-201,P-201.FI_LO,Discharge flow low,3,LO,2025-01-17 13:23:19,2025-01-17 13:23:27,2025-01-17 13:45:40,22.4,OP03,Pumping_Station_A,
P-201,P-201.PI_HI,Discharge pressure high,3,HI,2025-01-17 16:56:12,2025-01-17 17:00:28,2025-01-17 17:06:54,10.7,OP04,Pumping_Station_A,
TK-101,TK-101.PI_HI,Tank pressure high,2,HI,2025-01-17 19:05:55,2025-01-17 19:06:30,2025-01-17 19:15:08,9.2,OP04,Storage_Tank_Farm,
TK-101,TK-101.LI_LO,Tank level low,4,LO,2025-01-17 20:42:26,2025-01-17 20:44:19,2025-01-17 21:25:37,43.2,OP01,Storage_Tank_Farm,
P-201,P-201.VI_HI,Pump vibration high,2,HI,2025-01-18 11:49:08,2025-01-18 11:53:40,2025-01-18 11:59:26,10.3,OP05,Pumping_Station_A,
TK-101,TK-101.LI_LO,Tank level low,4,LO,2025-01-18 15:46:16,2025-01-18 15:48:10,2025-01-18 18:03:58,137.7,OP05,Storage_Tank_Farm,
C-301,C-301.TI_HI,Discharge temp high,2,HI,2025-01-18 21:14:16,2025-01-18 21:15:48,2025-01-18 21:24:46,10.5,OP01,Compressor_Building,
P-201,P-201.FI_LO,Discharge flow low,3,LO,2025-01-19 09:51:27,2025-01-19 09:54:28,2025-01-19 10:36:27,45.0,OP03,Pumping_Station_A,
TK-101,TK-101.TI_HI,Tank temperature high,3,HI,2025-01-19 10:06:00,2025-01-19 10:10:16,2025-01-19 10:17:55,11.9,OP05,Storage_Tank_Farm,
C-301,C-301.VI_HI,Compressor vibration high,1,HI,2025-01-19 11:00:01,2025-01-19 11:01:09,2025-01-19 11:04:13,4.2,OP05,Compressor_Building,
TK-101,TK-101.LI_HI,Tank level high,3,HI,2025-01-19 12:12:53,2025-01-19 12:15:44,2025-01-19 12:39:03,26.2,OP05,Storage_Tank_Farm,
TK-101,TK-101.LI_LO,Tank level low,4,LO,2025-01-19 16:19:23,2025-01-19 16:23:20,2025-01-19 18:18:34,119.2,OP05,Storage_Tank_Farm,
C-301,C-301.PDI_HI,Filter delta-P high,4,HI,2025-01-19 18:42:31,2025-01-19 18:44:16,2025-01-19 20:18:46,96.3,OP05,Compressor_Building,
C-301,C-301.PI_LO,Suction pressure low,2,LO,2025-01-19 19:55:46,2025-01-19 19:59:26,2025-01-19 20:08:46,13.0,OP05,Compressor_Building,
C-301,C-301.PI_LO,Suction pressure low,2,LO,2025-01-19 21:16:41,2025-01-19 21:20:52,2025-01-19 21:25:58,9.3,OP03,Compressor_Building,
P-201,P-201.TI_HI,Motor temperature high,2,HI,2025-01-20 01:01:55,2025-01-20 01:03:05,2025-01-20 01:17:18,15.4,OP04,Pumping_Station_A,
TK-101,TK-101.LI_HI,Tank level high,3,HI,2025-01-20 01:34:55,2025-01-20 01:35:25,2025-01-20 01:55:17,20.4,OP04,Storage_Tank_Farm,
C-301,C-301.PDI_HI,Filter delta-P high,4,HI,2025-01-20 04:06:45,2025-01-20 04:10:22,2025-01-20 05:29:21,82.6,OP02,Compressor_Building,
